sample_id,volume_id,slice_idx,mae,mse,pearson,split
file_brain_AXT2_201_2010585_slice001,file_brain_AXT2_201_2010585,1,0.091929592192173,0.02877388522028923,0.9760787108282832,train
file_brain_AXT2_202_2020261_slice005,file_brain_AXT2_202_2020261,5,0.12019232660531998,0.029605530202388763,0.980330448241724,train
file_brain_AXT2_209_6001420_slice010,file_brain_AXT2_209_6001420,10,0.06512168049812317,0.022530626505613327,0.9732365929004217,train
file_brain_AXT2_206_2060029_slice015,file_brain_AXT2_206_2060029,15,0.045228783041238785,0.0040490166284143925,0.9938066483710235,train
file_brain_AXT2_202_2020297_slice006,file_brain_AXT2_202_2020297,6,0.08085238188505173,0.027439022436738014,0.9717898362981613,train
file_brain_AXT2_200_2000485_slice013,file_brain_AXT2_200_2000485,13,0.06383220851421356,0.022462986409664154,0.9569906748969621,train
file_brain_AXT2_203_2030092_slice004,file_brain_AXT2_203_2030092,4,0.11066312342882156,0.05117340758442879,0.9505413402224934,train
file_brain_AXT2_200_2000417_slice011,file_brain_AXT2_200_2000417,11,0.035707950592041016,0.007486146874725819,0.9880910067241507,train
file_brain_AXT2_210_6001833_slice003,file_brain_AXT2_210_6001833,3,0.09267701953649521,0.03740601986646652,0.9688203342631455,train
file_brain_AXT2_207_2070198_slice002,file_brain_AXT2_207_2070198,2,0.10329654812812805,0.039457518607378006,0.9793734154390762,train
file_brain_AXT2_200_2000357_slice012,file_brain_AXT2_200_2000357,12,0.04213792085647583,0.011187534779310226,0.9819604483310995,train
file_brain_AXT2_200_6002197_slice008,file_brain_AXT2_200_6002197,8,0.10352856665849686,0.04786844179034233,0.9472013548669067,train
file_brain_AXT2_207_2070581_slice002,file_brain_AXT2_207_2070581,2,0.07301106303930283,0.02244827337563038,0.978956623088215,train
file_brain_AXT2_200_2000407_slice006,file_brain_AXT2_200_2000407,6,0.06468420475721359,0.022289006039500237,0.9829176361667522,train
file_brain_AXT2_207_2070460_slice001,file_brain_AXT2_207_2070460,1,0.08864978700876236,0.031454525887966156,0.9710135132237488,train
file_brain_AXT2_208_2080303_slice012,file_brain_AXT2_208_2080303,12,0.1075991690158844,0.029526513069868088,0.9726502587523186,train
file_brain_AXT2_207_2070458_slice003,file_brain_AXT2_207_2070458,3,0.08643681555986404,0.029156504198908806,0.9732824697861174,train
file_brain_AXT2_202_2020297_slice009,file_brain_AXT2_202_2020297,9,0.06913550943136215,0.02244962751865387,0.9753516934675697,train
file_brain_AXT2_203_2030288_slice007,file_brain_AXT2_203_2030288,7,0.06885504722595215,0.022570427507162094,0.9753302966556755,train
file_brain_AXT2_202_2020409_slice004,file_brain_AXT2_202_2020409,4,0.05599434673786163,0.015346329659223557,0.9784263985106074,train
file_brain_AXT2_200_6002551_slice010,file_brain_AXT2_200_6002551,10,0.06259885430335999,0.018776224926114082,0.9745090337125778,train
file_brain_AXT2_201_2010455_slice006,file_brain_AXT2_201_2010455,6,0.08494920283555984,0.03484218567609787,0.9666843905153997,train
file_brain_AXT2_207_2070422_slice004,file_brain_AXT2_207_2070422,4,0.07097670435905457,0.021945299580693245,0.9809206607289689,train
file_brain_AXT2_209_6001025_slice000,file_brain_AXT2_209_6001025,0,0.07420831173658371,0.02364392951130867,0.9777263108189551,train
file_brain_AXT2_204_2040073_slice009,file_brain_AXT2_204_2040073,9,0.10066314786672592,0.04829917475581169,0.9415343154525659,train
file_brain_AXT2_210_6001532_slice010,file_brain_AXT2_210_6001532,10,0.051276691257953644,0.01769080199301243,0.9754494596013624,train
file_brain_AXT2_200_2000020_slice009,file_brain_AXT2_200_2000020,9,0.051973987370729446,0.013345150277018547,0.9880073637206636,train
file_brain_AXT2_210_6001763_slice008,file_brain_AXT2_210_6001763,8,0.09496413171291351,0.03402463719248772,0.965035346488275,train
file_brain_AXT2_210_6001711_slice015,file_brain_AXT2_210_6001711,15,0.04735836759209633,0.005860609468072653,0.9888653692587571,train
file_brain_AXT2_208_2080526_slice012,file_brain_AXT2_208_2080526,12,0.049996133893728256,0.009115251712501049,0.9838039545539363,train
file_brain_AXT2_208_2080412_slice003,file_brain_AXT2_208_2080412,3,0.08596062660217285,0.03179971128702164,0.97088062969312,train
file_brain_AXT2_205_2050130_slice003,file_brain_AXT2_205_2050130,3,0.11834638565778732,0.0516074001789093,0.9486367389927945,train
file_brain_AXT2_208_2080722_slice000,file_brain_AXT2_208_2080722,0,0.07324633747339249,0.023120209574699402,0.9782069358838542,train
file_brain_AXT2_202_2020065_slice014,file_brain_AXT2_202_2020065,14,0.11219601333141327,0.024487368762493134,0.9689625307637284,train
file_brain_AXT2_210_6001709_slice013,file_brain_AXT2_210_6001709,13,0.08650325238704681,0.014664193615317345,0.9843916657697409,train
file_brain_AXT2_201_2010261_slice014,file_brain_AXT2_201_2010261,14,0.04354489594697952,0.006951629184186459,0.9844267258735786,train
file_brain_AXT2_200_6002302_slice002,file_brain_AXT2_200_6002302,2,0.10333756357431412,0.042609624564647675,0.9606552485758869,train
file_brain_AXT2_210_2100064_slice006,file_brain_AXT2_210_2100064,6,0.08132398128509521,0.03291260078549385,0.971335946154705,train
file_brain_AXT2_210_2100345_slice005,file_brain_AXT2_210_2100345,5,0.09327757358551025,0.03455696627497673,0.9653202234013335,train
file_brain_AXT2_209_6000981_slice015,file_brain_AXT2_209_6000981,15,0.11465355008840561,0.02008928917348385,0.9877680829053935,train
file_brain_AXT2_202_2020022_slice004,file_brain_AXT2_202_2020022,4,0.06911079585552216,0.01975261978805065,0.9794788556245574,train
file_brain_AXT2_202_2020183_slice006,file_brain_AXT2_202_2020183,6,0.07808186858892441,0.022938456386327744,0.9807059915936732,train
file_brain_AXT2_209_2090406_slice008,file_brain_AXT2_209_2090406,8,0.06470877677202225,0.022218050435185432,0.9729506808091692,train
file_brain_AXT2_203_2030350_slice007,file_brain_AXT2_203_2030350,7,0.08000696450471878,0.022740019485354424,0.9766155202520119,train
file_brain_AXT2_208_2080713_slice011,file_brain_AXT2_208_2080713,11,0.04983188211917877,0.0111088827252388,0.9815535331409412,train
file_brain_AXT2_200_2000290_slice011,file_brain_AXT2_200_2000290,11,0.04910493642091751,0.01644074358046055,0.9741661295301971,train
file_brain_AXT2_208_2080186_slice004,file_brain_AXT2_208_2080186,4,0.07438907027244568,0.022904030978679657,0.9779966019592268,train
file_brain_AXT2_208_2080445_slice004,file_brain_AXT2_208_2080445,4,0.0795341208577156,0.02606123499572277,0.9760332747846744,train
file_brain_AXT2_200_6002037_slice013,file_brain_AXT2_200_6002037,13,0.09675858914852142,0.023336324840784073,0.9705209153770369,train
file_brain_AXT2_210_2100079_slice014,file_brain_AXT2_210_2100079,14,0.0467757023870945,0.004589236807078123,0.9908332564411412,train
file_brain_AXT2_200_6002539_slice009,file_brain_AXT2_200_6002539,9,0.07652491331100464,0.02709837630391121,0.9806020616471819,train
file_brain_AXT2_202_6000459_slice001,file_brain_AXT2_202_6000459,1,0.07633574306964874,0.018643859773874283,0.9816322957968785,train
file_brain_AXT2_201_2010604_slice009,file_brain_AXT2_201_2010604,9,0.05113883316516876,0.01483053620904684,0.9827080781810584,train
file_brain_AXT2_209_2090358_slice010,file_brain_AXT2_209_2090358,10,0.06490720808506012,0.020535320043563843,0.9794018386643834,train
file_brain_AXT2_201_2010455_slice001,file_brain_AXT2_201_2010455,1,0.10299522429704666,0.04229830205440521,0.970827595483559,train
file_brain_AXT2_201_2010519_slice014,file_brain_AXT2_201_2010519,14,0.07659387588500977,0.016834188252687454,0.969518757682986,train
file_brain_AXT2_210_6001863_slice008,file_brain_AXT2_210_6001863,8,0.07034126669168472,0.02117191255092621,0.9846951544202732,train
