sample_id,volume_id,slice_idx,mae,mse,pearson,split
file_brain_AXT2_201_2010029_slice013,file_brain_AXT2_201_2010029,13,0.08055075258016586,0.0251243244856596,0.9541295859910275,train
file_brain_AXT2_201_2010604_slice012,file_brain_AXT2_201_2010604,12,0.030081309378147125,0.005438035354018211,0.9911914913481824,train
file_brain_AXT2_203_2030092_slice005,file_brain_AXT2_203_2030092,5,0.13304658234119415,0.07559877634048462,0.924386508039768,train
file_brain_AXT2_208_2080591_slice012,file_brain_AXT2_208_2080591,12,0.058745309710502625,0.016024773940443993,0.9721606020515565,train
file_brain_AXT2_208_2080354_slice006,file_brain_AXT2_208_2080354,6,0.08294554054737091,0.030582556501030922,0.9698583658579827,train
file_brain_AXT2_200_2000417_slice009,file_brain_AXT2_200_2000417,9,0.04297596588730812,0.010783547535538673,0.9885951250838773,train
file_brain_AXT2_210_6001546_slice004,file_brain_AXT2_210_6001546,4,0.07876688987016678,0.02554045431315899,0.9705066539992305,train
file_brain_AXT2_210_6001491_slice010,file_brain_AXT2_210_6001491,10,0.048540107905864716,0.012380527332425117,0.9828539910761247,train
file_brain_AXT2_201_2010585_slice001,file_brain_AXT2_201_2010585,1,0.08833897113800049,0.029519228264689445,0.9751571467382004,train
file_brain_AXT2_210_6001944_slice015,file_brain_AXT2_210_6001944,15,0.09819260984659195,0.01658816635608673,0.9840937089704601,train
file_brain_AXT2_200_6002261_slice005,file_brain_AXT2_200_6002261,5,0.06874147057533264,0.024970507249236107,0.9718206581026957,train
file_brain_AXT2_208_2080186_slice009,file_brain_AXT2_208_2080186,9,0.07359960675239563,0.027105234563350677,0.9670802794952441,train
file_brain_AXT2_208_2080303_slice007,file_brain_AXT2_208_2080303,7,0.08109733462333679,0.019110767170786858,0.9853510480355503,train
file_brain_AXT2_210_2100201_slice004,file_brain_AXT2_210_2100201,4,0.07231437414884567,0.02288675494492054,0.9747729382039251,train
file_brain_AXT2_210_2100345_slice005,file_brain_AXT2_210_2100345,5,0.09573342651128769,0.03657349944114685,0.963187418653156,train
file_brain_AXT2_210_6001709_slice008,file_brain_AXT2_210_6001709,8,0.07180793583393097,0.02140704356133938,0.9832943702662723,train
file_brain_AXT2_201_2010239_slice007,file_brain_AXT2_201_2010239,7,0.1403329223394394,0.07048220187425613,0.9272163415315573,train
file_brain_AXT2_205_6000091_slice000,file_brain_AXT2_205_6000091,0,0.11254865676164627,0.04170822724699974,0.9609521437881324,train
file_brain_AXT2_202_2020183_slice015,file_brain_AXT2_202_2020183,15,0.09241155534982681,0.013986874371767044,0.9663270903858422,train
file_brain_AXT2_206_2060070_slice002,file_brain_AXT2_206_2060070,2,0.08494053035974503,0.02293616533279419,0.975312080730735,train
file_brain_AXT2_208_2080277_slice001,file_brain_AXT2_208_2080277,1,0.07824621349573135,0.02118811197578907,0.9795059145043129,train
file_brain_AXT2_200_6002308_slice001,file_brain_AXT2_200_6002308,1,0.09019563347101212,0.03224055469036102,0.9745242419423453,train
file_brain_AXT2_200_2000621_slice000,file_brain_AXT2_200_2000621,0,0.08996511995792389,0.03041645884513855,0.9721620085154835,train
file_brain_AXT2_202_2020127_slice010,file_brain_AXT2_202_2020127,10,0.06023221090435982,0.01716693863272667,0.9793915460046765,train
file_brain_AXT2_200_2000592_slice014,file_brain_AXT2_200_2000592,14,0.039609070867300034,0.010355489328503609,0.9806656302113791,train
file_brain_AXT2_200_2000488_slice002,file_brain_AXT2_200_2000488,2,0.08037323504686356,0.026425128802657127,0.9786095528752677,train
file_brain_AXT2_201_2010323_slice002,file_brain_AXT2_201_2010323,2,0.0906662866473198,0.03152770549058914,0.9727359066949509,train
file_brain_AXT2_210_6001694_slice001,file_brain_AXT2_210_6001694,1,0.08452996611595154,0.027780888602137566,0.9768777916027638,train
file_brain_AXT2_202_2020127_slice001,file_brain_AXT2_202_2020127,1,0.08954844623804092,0.032290901988744736,0.9760214239727316,train
file_brain_AXT2_200_6002012_slice004,file_brain_AXT2_200_6002012,4,0.08708206564188004,0.03149743378162384,0.9715493269249603,train
file_brain_AXT2_202_2020358_slice009,file_brain_AXT2_202_2020358,9,0.06514068692922592,0.010972695425152779,0.9850763196014696,train
file_brain_AXT2_201_2010174_slice004,file_brain_AXT2_201_2010174,4,0.09302065521478653,0.030354294925928116,0.9691949652737967,train
file_brain_AXT2_209_2090358_slice002,file_brain_AXT2_209_2090358,2,0.08495728671550751,0.028534041717648506,0.9723508825328305,train
file_brain_AXT2_202_2020555_slice008,file_brain_AXT2_202_2020555,8,0.07124589383602142,0.02102775312960148,0.9696761286097617,train
file_brain_AXT2_209_6001050_slice001,file_brain_AXT2_209_6001050,1,0.08867862820625305,0.03293589502573013,0.9668314675038441,train
file_brain_AXT2_210_6001763_slice005,file_brain_AXT2_210_6001763,5,0.11503435671329498,0.04470183327794075,0.9567951838173461,train
file_brain_AXT2_210_6001506_slice001,file_brain_AXT2_210_6001506,1,0.08219083398580551,0.02866162173449993,0.9723769887565252,train
file_brain_AXT2_208_2080598_slice011,file_brain_AXT2_208_2080598,11,0.05451080948114395,0.013590631075203419,0.9881940195617738,train
file_brain_AXT2_201_2010156_slice006,file_brain_AXT2_201_2010156,6,0.0728612020611763,0.026112159714102745,0.9796792872300446,train
file_brain_AXT2_209_6001420_slice011,file_brain_AXT2_209_6001420,11,0.05673549324274063,0.019272049888968468,0.9697789079636387,train
file_brain_AXT2_208_2080414_slice001,file_brain_AXT2_208_2080414,1,0.08635984361171722,0.02850038930773735,0.9732274929836494,train
file_brain_AXT2_201_2010177_slice014,file_brain_AXT2_201_2010177,14,0.04576634243130684,0.012382824905216694,0.9719405266026617,train
file_brain_AXT2_207_2070458_slice001,file_brain_AXT2_207_2070458,1,0.07819721847772598,0.023737752810120583,0.9792514853191127,train
file_brain_AXT2_201_2010519_slice012,file_brain_AXT2_201_2010519,12,0.04842089116573334,0.013288271613419056,0.9808915805266215,train
file_brain_AXT2_202_2020290_slice009,file_brain_AXT2_202_2020290,9,0.10190916806459427,0.036914411932229996,0.9571417323638681,train
file_brain_AXT2_202_2020063_slice005,file_brain_AXT2_202_2020063,5,0.10361094772815704,0.027879709377884865,0.9769214884534887,train
file_brain_AXT2_201_2010532_slice010,file_brain_AXT2_201_2010532,10,0.06346043944358826,0.023842481896281242,0.9696392805912941,train
file_brain_AXT2_201_2010174_slice008,file_brain_AXT2_201_2010174,8,0.07332564145326614,0.02096245437860489,0.9755632836088827,train
file_brain_AXT2_203_2030350_slice015,file_brain_AXT2_203_2030350,15,0.10400066524744034,0.018080806359648705,0.9708845071755932,train
file_brain_AXT2_202_2020183_slice003,file_brain_AXT2_202_2020183,3,0.07570457458496094,0.024011991918087006,0.9785557684758059,train
file_brain_AXT2_201_2010261_slice000,file_brain_AXT2_201_2010261,0,0.0966872125864029,0.03694554418325424,0.963294228412958,train
file_brain_AXT2_207_2070484_slice008,file_brain_AXT2_207_2070484,8,0.09368124604225159,0.04106682166457176,0.9557631514119139,train
file_brain_AXT2_207_2070325_slice013,file_brain_AXT2_207_2070325,13,0.08273890614509583,0.013186278752982616,0.9875419291734936,train
file_brain_AXT2_210_6001763_slice011,file_brain_AXT2_210_6001763,11,0.0684126764535904,0.01831192709505558,0.9861983730361967,train
file_brain_AXT2_201_2010626_slice007,file_brain_AXT2_201_2010626,7,0.07854297012090683,0.024635855108499527,0.9761131550311994,train
file_brain_AXT2_209_2090339_slice004,file_brain_AXT2_209_2090339,4,0.07798691838979721,0.026645652949810028,0.9735209936286681,train
file_brain_AXT2_207_2070484_slice006,file_brain_AXT2_207_2070484,6,0.08113623410463333,0.028514103963971138,0.9698894375866975,train
file_brain_AXT2_203_2030196_slice010,file_brain_AXT2_203_2030196,10,0.07146742194890976,0.017878424376249313,0.9872464011746364,train
file_brain_AXT2_209_2090358_slice011,file_brain_AXT2_209_2090358,11,0.06497544795274734,0.022966671735048294,0.9697665842074293,train
file_brain_AXT2_210_6001622_slice004,file_brain_AXT2_210_6001622,4,0.09082985669374466,0.0350053645670414,0.9718099142409689,train
file_brain_AXT2_203_2030135_slice005,file_brain_AXT2_203_2030135,5,0.08210104703903198,0.028421897441148758,0.9789487120511207,train
file_brain_AXT2_207_2070703_slice015,file_brain_AXT2_207_2070703,15,0.10671069473028183,0.018297431990504265,0.9600590305443861,train
file_brain_AXT2_205_6000091_slice007,file_brain_AXT2_205_6000091,7,0.07499103248119354,0.024291861802339554,0.9773092808427718,train
file_brain_AXT2_207_2070590_slice006,file_brain_AXT2_207_2070590,6,0.09717896580696106,0.03777540102601051,0.9624637387633524,train
file_brain_AXT2_200_2000092_slice005,file_brain_AXT2_200_2000092,5,0.08805505931377411,0.03448857367038727,0.9701751904320345,train
file_brain_AXT2_208_2080011_slice013,file_brain_AXT2_208_2080011,13,0.08506551384925842,0.011733181774616241,0.9843771940931078,train
