sample_id,volume_id,slice_idx,mae,mse,pearson,split
file_brain_AXT2_200_2000357_slice004,file_brain_AXT2_200_2000357,4,0.0753849670290947,0.023551104590296745,0.9850459772929774,train
file_brain_AXT2_200_6002655_slice004,file_brain_AXT2_200_6002655,4,0.08482768386602402,0.031992293894290924,0.9666453285850466,train
file_brain_AXT2_207_2070100_slice012,file_brain_AXT2_207_2070100,12,0.04898988828063011,0.0178231131285429,0.9687715102590732,train
file_brain_AXT2_208_2080412_slice012,file_brain_AXT2_208_2080412,12,0.05823420360684395,0.01761607825756073,0.9760580701284095,train
file_brain_AXT2_209_6000982_slice005,file_brain_AXT2_209_6000982,5,0.09941107779741287,0.041267361491918564,0.9574452946983857,train
file_brain_AXT2_201_2010602_slice004,file_brain_AXT2_201_2010602,4,0.1006842628121376,0.03859362378716469,0.9570703535377154,train
file_brain_AXT2_200_6002465_slice005,file_brain_AXT2_200_6002465,5,0.07991552352905273,0.026478668674826622,0.9767283610178457,train
file_brain_AXT2_201_2010261_slice000,file_brain_AXT2_201_2010261,0,0.09386318922042847,0.03741491958498955,0.9633451590412474,train
file_brain_AXT2_210_6001833_slice009,file_brain_AXT2_210_6001833,9,0.07961176335811615,0.033649690449237823,0.9607821419687206,train
file_brain_AXT2_207_2070590_slice009,file_brain_AXT2_207_2070590,9,0.07722651213407516,0.02727760747075081,0.982947117333608,train
file_brain_AXT2_201_2010398_slice010,file_brain_AXT2_201_2010398,10,0.06868711858987808,0.02206895872950554,0.9724835732708041,train
file_brain_AXT2_202_2020409_slice006,file_brain_AXT2_202_2020409,6,0.07745599001646042,0.02534523978829384,0.9766646306656148,train
file_brain_AXT2_208_2080091_slice007,file_brain_AXT2_208_2080091,7,0.06874918192625046,0.02090897411108017,0.9774138591753762,train
file_brain_AXT2_201_2010519_slice008,file_brain_AXT2_201_2010519,8,0.07951946556568146,0.024069789797067642,0.9745263828721158,train
file_brain_AXT2_200_6002100_slice011,file_brain_AXT2_200_6002100,11,0.06609489768743515,0.023892126977443695,0.9646424993499125,train
file_brain_AXT2_200_2000488_slice009,file_brain_AXT2_200_2000488,9,0.073814257979393,0.01952759549021721,0.9855314562112452,train
file_brain_AXT2_210_2100086_slice014,file_brain_AXT2_210_2100086,14,0.04427364841103554,0.01161713432520628,0.9829475749407461,train
file_brain_AXT2_210_2100260_slice011,file_brain_AXT2_210_2100260,11,0.07015721499919891,0.027549833059310913,0.9649004638336933,train
file_brain_AXT2_208_2080445_slice003,file_brain_AXT2_208_2080445,3,0.08396799862384796,0.02819853462278843,0.983279154836244,train
file_brain_AXT2_201_2010588_slice006,file_brain_AXT2_201_2010588,6,0.09185397624969482,0.04052085056900978,0.9575184400101341,train
file_brain_AXT2_202_2020489_slice001,file_brain_AXT2_202_2020489,1,0.10757548362016678,0.03305163234472275,0.9755609813570956,train
file_brain_AXT2_201_2010416_slice005,file_brain_AXT2_201_2010416,5,0.09403206408023834,0.03476648032665253,0.9663316150079073,train
file_brain_AXT2_200_6002528_slice010,file_brain_AXT2_200_6002528,10,0.06203853711485863,0.014770184643566608,0.9814191731245078,train
file_brain_AXT2_201_2010338_slice000,file_brain_AXT2_201_2010338,0,0.0943174734711647,0.03686824068427086,0.9650089263020857,train
file_brain_AXT2_201_2010338_slice009,file_brain_AXT2_201_2010338,9,0.058580432087183,0.019619228318333626,0.9771727542725408,train
file_brain_AXT2_200_2000621_slice003,file_brain_AXT2_200_2000621,3,0.07166873663663864,0.023841669782996178,0.9761739060312318,train
file_brain_AXT2_200_6002308_slice013,file_brain_AXT2_200_6002308,13,0.06987392902374268,0.01645524986088276,0.9632022319343997,train
file_brain_AXT2_207_2070500_slice004,file_brain_AXT2_207_2070500,4,0.08642957359552383,0.03084075264632702,0.9704900769199633,train
file_brain_AXT2_210_6001747_slice011,file_brain_AXT2_210_6001747,11,0.15195246040821075,0.03708323463797569,0.9524150133736728,train
file_brain_AXT2_200_2000592_slice012,file_brain_AXT2_200_2000592,12,0.0560251921415329,0.017836693674325943,0.9758455223743397,train
file_brain_AXT2_202_2020022_slice008,file_brain_AXT2_202_2020022,8,0.07302010804414749,0.024800915271043777,0.9715534826503581,train
file_brain_AXT2_210_2100260_slice006,file_brain_AXT2_210_2100260,6,0.10343431681394577,0.04997401311993599,0.946078606656949,train
file_brain_AXT2_203_2030135_slice014,file_brain_AXT2_203_2030135,14,0.03791531175374985,0.0035749077796936035,0.992146315457078,train
file_brain_AXT2_201_2010585_slice000,file_brain_AXT2_201_2010585,0,0.10295683145523071,0.04041193425655365,0.9650770112644551,train
file_brain_AXT2_202_2020290_slice013,file_brain_AXT2_202_2020290,13,0.050204209983348846,0.015275027602910995,0.9742298773375387,train
file_brain_AXT2_202_2020409_slice010,file_brain_AXT2_202_2020409,10,0.04765622690320015,0.009315534494817257,0.9844353842056881,train
file_brain_AXT2_210_6001833_slice015,file_brain_AXT2_210_6001833,15,0.031833115965127945,0.0070480299182236195,0.9852466080824026,train
file_brain_AXT2_209_2090358_slice007,file_brain_AXT2_209_2090358,7,0.07353079319000244,0.024876926094293594,0.9751038367436227,train
file_brain_AXT2_208_2080601_slice013,file_brain_AXT2_208_2080601,13,0.12117279320955276,0.028068730607628822,0.9693623374520542,train
file_brain_AXT2_207_2070562_slice011,file_brain_AXT2_207_2070562,11,0.05426178127527237,0.01672445982694626,0.9784210927954579,train
file_brain_AXT2_200_6002197_slice010,file_brain_AXT2_200_6002197,10,0.07707604765892029,0.02853601612150669,0.964358343805914,train
file_brain_AXT2_200_6002302_slice011,file_brain_AXT2_200_6002302,11,0.05037667229771614,0.015535463578999043,0.9774546179192178,train
file_brain_AXT2_200_6002539_slice007,file_brain_AXT2_200_6002539,7,0.08026502281427383,0.02530546300113201,0.9787879519235312,train
