sample_id,volume_id,slice_idx,mae,mse,pearson,split
file_brain_AXT2_201_2010029_slice013,file_brain_AXT2_201_2010029,13,0.07257091999053955,0.018342439085245132,0.9681687555450551,train
file_brain_AXT2_201_2010604_slice012,file_brain_AXT2_201_2010604,12,0.036697011440992355,0.0087629035115242,0.9854881485021058,train
file_brain_AXT2_203_2030092_slice005,file_brain_AXT2_203_2030092,5,0.13502727448940277,0.0768657997250557,0.9194315079007148,train
file_brain_AXT2_208_2080591_slice012,file_brain_AXT2_208_2080591,12,0.05257188901305199,0.01413299236446619,0.9759996636683215,train
file_brain_AXT2_208_2080354_slice006,file_brain_AXT2_208_2080354,6,0.08723463863134384,0.03446083888411522,0.9661064461153139,train
file_brain_AXT2_200_2000417_slice009,file_brain_AXT2_200_2000417,9,0.045846808701753616,0.012325112707912922,0.9861659271304467,train
file_brain_AXT2_210_6001546_slice004,file_brain_AXT2_210_6001546,4,0.09129057824611664,0.030971219763159752,0.9658337018761982,train
file_brain_AXT2_210_6001491_slice010,file_brain_AXT2_210_6001491,10,0.05579237639904022,0.016086699441075325,0.9773312661447447,train
file_brain_AXT2_201_2010585_slice001,file_brain_AXT2_201_2010585,1,0.09077612310647964,0.02897367812693119,0.9755362604758685,train
file_brain_AXT2_210_6001944_slice015,file_brain_AXT2_210_6001944,15,0.09700637310743332,0.016974519938230515,0.9842544942607506,train
file_brain_AXT2_200_6002261_slice005,file_brain_AXT2_200_6002261,5,0.06738249212503433,0.02332979068160057,0.9727921885827863,train
file_brain_AXT2_208_2080186_slice009,file_brain_AXT2_208_2080186,9,0.0713520348072052,0.024504851549863815,0.9701377466743271,train
file_brain_AXT2_208_2080303_slice007,file_brain_AXT2_208_2080303,7,0.08316244930028915,0.021701712161302567,0.9830919125213489,train
file_brain_AXT2_210_2100201_slice004,file_brain_AXT2_210_2100201,4,0.07390546053647995,0.024667691439390182,0.9741435161046758,train
file_brain_AXT2_210_2100345_slice005,file_brain_AXT2_210_2100345,5,0.09539666771888733,0.034712161868810654,0.9649767401830006,train
file_brain_AXT2_210_6001709_slice008,file_brain_AXT2_210_6001709,8,0.0691150575876236,0.01979641243815422,0.9847352858996654,train
file_brain_AXT2_201_2010239_slice007,file_brain_AXT2_201_2010239,7,0.14090295135974884,0.07251720875501633,0.9266445997240578,train
file_brain_AXT2_205_6000091_slice000,file_brain_AXT2_205_6000091,0,0.1083029955625534,0.04047948494553566,0.962479353960068,train
file_brain_AXT2_202_2020183_slice015,file_brain_AXT2_202_2020183,15,0.09994080662727356,0.01599011942744255,0.9627994215390258,train
file_brain_AXT2_206_2060070_slice002,file_brain_AXT2_206_2060070,2,0.08570598810911179,0.022722821682691574,0.975936110623225,train
file_brain_AXT2_208_2080277_slice001,file_brain_AXT2_208_2080277,1,0.07812511175870895,0.021452775225043297,0.9792951908811801,train
file_brain_AXT2_200_6002308_slice001,file_brain_AXT2_200_6002308,1,0.08827115595340729,0.02928481437265873,0.9764805564019048,train
file_brain_AXT2_200_2000621_slice000,file_brain_AXT2_200_2000621,0,0.08800949156284332,0.028185304254293442,0.9741008940068294,train
file_brain_AXT2_202_2020127_slice010,file_brain_AXT2_202_2020127,10,0.06294028460979462,0.017993640154600143,0.9781059251923006,train
file_brain_AXT2_200_2000592_slice014,file_brain_AXT2_200_2000592,14,0.03876285254955292,0.00888320617377758,0.9823729454506621,train
file_brain_AXT2_200_2000488_slice002,file_brain_AXT2_200_2000488,2,0.07907581329345703,0.02531598135828972,0.9790834773852949,train
file_brain_AXT2_201_2010323_slice002,file_brain_AXT2_201_2010323,2,0.08770614862442017,0.028721218928694725,0.974529392739711,train
file_brain_AXT2_210_6001694_slice001,file_brain_AXT2_210_6001694,1,0.08827386796474457,0.02972504310309887,0.974749257923626,train
file_brain_AXT2_202_2020127_slice001,file_brain_AXT2_202_2020127,1,0.09739116579294205,0.038631707429885864,0.9712819980708395,train
file_brain_AXT2_200_6002012_slice004,file_brain_AXT2_200_6002012,4,0.08274031430482864,0.02730884961783886,0.9758621855691165,train
file_brain_AXT2_202_2020358_slice009,file_brain_AXT2_202_2020358,9,0.07056476920843124,0.01349792629480362,0.9798042117983338,train
file_brain_AXT2_201_2010174_slice004,file_brain_AXT2_201_2010174,4,0.08021856099367142,0.02480563335120678,0.974732933266855,train
file_brain_AXT2_209_2090358_slice002,file_brain_AXT2_209_2090358,2,0.08964415639638901,0.03238702565431595,0.9685879458811887,train
file_brain_AXT2_202_2020555_slice008,file_brain_AXT2_202_2020555,8,0.06388820707798004,0.01602816767990589,0.9728381985695818,train
file_brain_AXT2_209_6001050_slice001,file_brain_AXT2_209_6001050,1,0.08906471729278564,0.03294810280203819,0.9671141307548691,train
file_brain_AXT2_210_6001763_slice005,file_brain_AXT2_210_6001763,5,0.1280781477689743,0.050675999373197556,0.9509451753875156,train
file_brain_AXT2_210_6001506_slice001,file_brain_AXT2_210_6001506,1,0.09562981873750687,0.03542466461658478,0.9660981364995048,train
file_brain_AXT2_208_2080598_slice011,file_brain_AXT2_208_2080598,11,0.056340061128139496,0.016412073746323586,0.9841516520138711,train
file_brain_AXT2_201_2010156_slice006,file_brain_AXT2_201_2010156,6,0.07190631330013275,0.022812940180301666,0.9821869101812588,train
file_brain_AXT2_209_6001420_slice011,file_brain_AXT2_209_6001420,11,0.07102382183074951,0.02177177183330059,0.9694891047340642,train
file_brain_AXT2_208_2080414_slice001,file_brain_AXT2_208_2080414,1,0.0898585245013237,0.030046485364437103,0.9717077432439649,train
file_brain_AXT2_201_2010177_slice014,file_brain_AXT2_201_2010177,14,0.047122519463300705,0.009752806276082993,0.9788043956171565,train
file_brain_AXT2_207_2070458_slice001,file_brain_AXT2_207_2070458,1,0.08014613389968872,0.02314552292227745,0.979450161098768,train
file_brain_AXT2_201_2010519_slice012,file_brain_AXT2_201_2010519,12,0.052046649158000946,0.01693953387439251,0.9756881070840456,train
file_brain_AXT2_202_2020290_slice009,file_brain_AXT2_202_2020290,9,0.10283433645963669,0.03721202164888382,0.9606707044997036,train
file_brain_AXT2_202_2020063_slice005,file_brain_AXT2_202_2020063,5,0.1005459576845169,0.026151802390813828,0.976631512169246,train
file_brain_AXT2_201_2010532_slice010,file_brain_AXT2_201_2010532,10,0.0642278641462326,0.022278454154729843,0.9719689321538795,train
file_brain_AXT2_201_2010174_slice008,file_brain_AXT2_201_2010174,8,0.06481000781059265,0.017504584044218063,0.9799498515306938,train
file_brain_AXT2_203_2030350_slice015,file_brain_AXT2_203_2030350,15,0.1011553555727005,0.016674185171723366,0.9724611890389925,train
file_brain_AXT2_202_2020183_slice003,file_brain_AXT2_202_2020183,3,0.0662202388048172,0.01751106232404709,0.9844369883595326,train
file_brain_AXT2_201_2010261_slice000,file_brain_AXT2_201_2010261,0,0.10037899017333984,0.039851173758506775,0.9602263659111351,train
file_brain_AXT2_207_2070484_slice008,file_brain_AXT2_207_2070484,8,0.09567373245954514,0.04018602520227432,0.9583328320880998,train
file_brain_AXT2_207_2070325_slice013,file_brain_AXT2_207_2070325,13,0.06494635343551636,0.013034582138061523,0.9806943437618455,train
file_brain_AXT2_210_6001763_slice011,file_brain_AXT2_210_6001763,11,0.06312631815671921,0.015657437965273857,0.9865345247051275,train
