volume_id,comparator,label,family,delta_top_risk_auprc,mae_reduction,delta_spearman
file_brain_AXT2_200_2000080,reliability_full,Full CNN,full_cnn,0.0017340220902875014,-0.00023045400185520148,0.03678456859586399
file_brain_AXT2_200_2000175,reliability_full,Full CNN,full_cnn,-0.020438749795452793,-0.007366124298419208,0.018196380131164758
file_brain_AXT2_200_2000360,reliability_full,Full CNN,full_cnn,-0.026850892166045415,0.0018758976394755988,0.011404200375368823
file_brain_AXT2_200_2000362,reliability_full,Full CNN,full_cnn,-0.0073385319225756085,0.0032704208689290915,0.011778187113896776
file_brain_AXT2_200_6001972,reliability_full,Full CNN,full_cnn,0.018867078039172203,0.003967712728412592,0.01609635361693429
file_brain_AXT2_200_6002111,reliability_full,Full CNN,full_cnn,0.002747159623239459,0.002275778156950195,0.012650793830149443
file_brain_AXT2_200_6002151,reliability_full,Full CNN,full_cnn,-0.008102683245717168,-0.00011184787632689819,0.029073997726767664
file_brain_AXT2_200_6002242,reliability_full,Full CNN,full_cnn,0.017480211048591765,0.005950571554472803,-0.001074380397533381
file_brain_AXT2_200_6002524,reliability_full,Full CNN,full_cnn,0.004576326058688407,0.0017916661362720049,0.02512925632353502
file_brain_AXT2_201_2010625,reliability_full,Full CNN,full_cnn,0.005582753625486214,0.0034638136667356906,0.011028173743319325
file_brain_AXT2_202_2020189,reliability_full,Full CNN,full_cnn,0.011797709079203633,0.004767602974862201,0.003531910198968591
file_brain_AXT2_203_2030254,reliability_full,Full CNN,full_cnn,-0.0013245473472798253,-0.003036551630390405,0.008220043427764168
file_brain_AXT2_203_2030256,reliability_full,Full CNN,full_cnn,0.018460330872693942,0.0013486491556216063,0.012109279243297966
file_brain_AXT2_203_2030354,reliability_full,Full CNN,full_cnn,-0.0034955848899466124,-0.004301945525016504,0.014201673357676192
file_brain_AXT2_205_6000022,reliability_full,Full CNN,full_cnn,0.004323154775090821,-0.004547057234973395,0.006954337073807992
file_brain_AXT2_207_2070039,reliability_full,Full CNN,full_cnn,0.006759032824115385,0.007066511503834791,0.009466751092204184
