split,baseline,mae,mse,pearson,spearman,top_fraction,top_threshold,top_risk_auroc,top_risk_auprc,num_eval_pixels_sampled
train,constant_mean,0.5407974285581225,0.4724642687423251,,,0.1,1.708984375,0.5,0.10011918234899396,998470
train,image_gradient,0.37841958465116204,0.28530222960481744,0.6300374530605278,0.7908809865318435,0.1,1.708984375,0.9378759388139837,0.5653938900152886,998470
train,intervention,0.5397751340032738,0.47034101006300677,0.0664970656356119,0.3529229604208801,0.1,1.7080078125,0.486274102832816,0.1556413200922245,998470
train,psf_gain,0.1494608536701006,0.07362652398739881,0.9189404219938084,0.9252761975503395,0.1,1.7119140625,0.9463266554400706,0.5070993777276313,998470
train,linear_6ch,0.15009558968434153,0.06835414121267354,0.9254484802651214,0.9368318269272339,0.1,1.7109375,0.9557925385831197,0.6010156876680672,998470
calibration,constant_mean,0.5447827035738455,0.47967179904745993,,,0.1,1.724609375,0.5,0.10008581785011282,999792
calibration,image_gradient,0.3811631697812034,0.2876106451796598,0.6339765498998492,0.7889195521768029,0.1,1.72265625,0.9357031378272266,0.5479257214041324,999792
calibration,intervention,0.5443137763962276,0.4783121157120539,0.058605110795125204,0.31796711098421,0.1,1.72265625,0.4879407355634423,0.1624086468323744,999792
calibration,psf_gain,0.15367114553062067,0.07150510829930973,0.9227119621102129,0.9222215563415485,0.1,1.7236328125,0.9443176295894227,0.4952525685516188,999792
calibration,linear_6ch,0.15314227129822605,0.06621161545403072,0.9287267427526716,0.9324736069507312,0.1,1.7255859375,0.9544368228706723,0.5954097539548993,999792
test,constant_mean,0.545155270758774,0.4779479584959189,,,0.1,1.7265625,0.5,0.10001180245491062,999792
test,image_gradient,0.3783819365505762,0.2830694925239539,0.6374331156222045,0.8075053721286884,0.1,1.724609375,0.9412662324351527,0.5872224142637754,999792
test,intervention,0.5416081472983432,0.47401632475508654,0.10042413179897113,0.3821798234466798,0.1,1.7275390625,0.5062936726209878,0.158476085630832,999792
test,psf_gain,0.1471964200492693,0.07272538605472025,0.9203723721256131,0.9236599671917659,0.1,1.7275390625,0.945906898427199,0.5020200655344418,999792
test,linear_6ch,0.14888237950919672,0.06773784163810168,0.9269079860811728,0.9306314220959039,0.1,1.7294921875,0.954561393013371,0.5866571849151958,999792
