reference,comparison,metric,diff_mean_ref_minus_comparison,diff_median_ref_minus_comparison,diff_ci_low,diff_ci_high,prob_ref_greater,p_two_sided_bootstrap
reliability_a4_image_only,reliability_full,spearman,0.011143585388182107,0.011094702100073461,0.006111717273222775,0.01657139305737874,1.0,0.001998001998001998
reliability_a4_image_only,reliability_full,top_risk_auroc,0.00041783902934711494,0.00041816960860485697,2.2805530093972318e-05,0.0007955111596388562,0.98,0.04195804195804196
reliability_a4_image_only,reliability_full,top_risk_auprc,0.0020370988191095235,0.0021495052835696082,-0.0035741086986393186,0.006998229544740736,0.781,0.43956043956043955
reliability_a4_image_only,reliability_full,mae,-0.0028065287993189617,-0.0028168695192965568,-0.003943947169988481,-0.0017412233835416122,0.0,0.001998001998001998
reliability_a4_image_only,reliability_full,mse,-0.0007574434774644827,-0.0007591302970321335,-0.0012772591592409822,-0.00025011797448325316,0.003,0.007992007992007992
reliability_a4_image_only,image_gradient,spearman,0.14747315779726125,0.14731183325997926,0.13513329851840264,0.16053836501406604,1.0,0.001998001998001998
reliability_a4_image_only,image_gradient,top_risk_auroc,0.04211869949320861,0.04209318087082076,0.039686851351630026,0.04476423531989015,1.0,0.001998001998001998
reliability_a4_image_only,image_gradient,top_risk_auprc,0.2649906500124081,0.264835663176663,0.24314667346213384,0.2858951434108194,1.0,0.001998001998001998
reliability_a4_image_only,image_gradient,mae,-0.3387566941805027,-0.3384039898827297,-0.35905968248263026,-0.3210999011864233,0.0,0.001998001998001998
reliability_a4_image_only,image_gradient,mse,-0.5915582910692626,-0.5907846643079231,-0.6279432732121842,-0.56068503722149,0.0,0.001998001998001998
reliability_a4_image_only,xhat_magnitude,spearman,0.07083495979731978,0.07086994591886275,0.05994333396891295,0.08306193530518652,1.0,0.001998001998001998
reliability_a4_image_only,xhat_magnitude,top_risk_auroc,0.035277237432715346,0.035163968815701,0.02907986093311987,0.041766221009923665,1.0,0.001998001998001998
reliability_a4_image_only,xhat_magnitude,top_risk_auprc,0.2747431087739643,0.274533160359278,0.24591760131170962,0.3052285827283218,1.0,0.001998001998001998
reliability_a4_image_only,xhat_magnitude,mae,-0.26074271076415867,-0.26000895736042023,-0.2786693596127648,-0.24444961439128432,0.0,0.001998001998001998
reliability_a4_image_only,xhat_magnitude,mse,-0.377554359885189,-0.37633849938320607,-0.40750327319422536,-0.35135870599264973,0.0,0.001998001998001998
reliability_a4_image_only,psf_gain_channel,spearman,0.030558605740846127,0.030502017164336204,0.023746895559020428,0.03801367933130007,1.0,0.001998001998001998
reliability_a4_image_only,psf_gain_channel,top_risk_auroc,0.033375870680576,0.03326353842491786,0.027921467975535116,0.03928637401189913,1.0,0.001998001998001998
reliability_a4_image_only,psf_gain_channel,top_risk_auprc,0.3115537366315629,0.311391738506226,0.27625838948386683,0.3462928247175257,1.0,0.001998001998001998
reliability_a4_image_only,psf_gain_channel,mae,-0.1649806765002148,-0.16466423633381133,-0.17855592938011575,-0.15295269554189764,0.0,0.001998001998001998
reliability_a4_image_only,psf_gain_channel,mse,-0.17632431488786457,-0.17590382949548888,-0.19386947378482314,-0.16129894758393987,0.0,0.001998001998001998
reliability_a4_image_only,intervention_magnitude,spearman,0.5703365169064512,0.5700246059203933,0.5385239089110604,0.6032645286381992,1.0,0.001998001998001998
reliability_a4_image_only,intervention_magnitude,top_risk_auroc,0.4766716403372046,0.47641996209456683,0.45656839287312456,0.4981145397196385,1.0,0.001998001998001998
reliability_a4_image_only,intervention_magnitude,top_risk_auprc,0.6841800197659045,0.6837420251574318,0.6683760560718852,0.700536823884434,1.0,0.001998001998001998
reliability_a4_image_only,intervention_magnitude,mae,-0.46259768736227275,-0.46232042122066785,-0.47906364769162374,-0.4469934482390142,0.0,0.001998001998001998
reliability_a4_image_only,intervention_magnitude,mse,-0.47454550473668694,-0.473943547576221,-0.49994281333684715,-0.45098284476541545,0.0,0.001998001998001998
